index,year,month,day,time,camera,tag,prediction
362,2022,08,14,1549,B,HD0908,1
363,2022,08,14,1554,B,HD0909,0
364,2022,08,14,1559,B,HD0910,0
365,2022,08,14,1604,B,HD0911,0
366,2022,08,14,1609,B,HD0912,0
367,2022,08,14,1614,B,HD0913,1
368,2022,08,14,1619,B,HD0914,1
369,2022,08,14,1624,B,HD0915,1
370,2022,08,14,1629,B,HD0916,1
371,2022,08,14,1634,B,HD0917,1
372,2022,08,14,1639,B,HD0918,1
373,2022,08,14,1644,B,HD0919,1
374,2022,08,14,1649,B,HD0920,1
375,2022,08,14,1654,B,HD0921,1
376,2022,08,14,1659,B,HD0922,1
377,2022,08,14,1704,B,HD0923,1
378,2022,08,14,1709,B,HD0924,1
379,2022,08,14,1714,B,HD0925,1
380,2022,08,14,1719,B,HD0926,1
381,2022,08,14,1724,B,HD0927,1
382,2022,08,14,1729,B,HD0928,1
383,2022,08,14,1734,B,HD0929,1
384,2022,08,14,1739,B,HD0930,1
385,2022,08,14,1744,B,HD0931,1
386,2022,08,14,1749,B,HD0932,1
387,2022,08,14,1754,B,HD0933,1
388,2022,08,14,1759,B,HD0934,1
389,2022,08,14,1804,B,HD0935,1
390,2022,08,14,1809,B,HD0936,1
391,2022,08,14,1814,B,HD0937,1
392,2022,08,14,1819,B,HD0938,1
393,2022,08,14,1824,B,HD0939,1
394,2022,08,14,1829,B,HD0940,1
395,2022,08,14,1834,B,HD0941,1
396,2022,08,14,1839,B,HD0942,1
397,2022,08,14,1844,B,HD0943,1
398,2022,08,14,1849,B,HD0944,0
399,2022,08,14,1854,B,HD0945,1
400,2022,08,14,1859,B,HD0946,1
401,2022,08,14,1904,B,HD0947,1
402,2022,08,14,1909,B,HD0948,1
403,2022,08,14,1914,B,HD0949,1
404,2022,08,14,1919,B,HD0950,1
405,2022,08,14,1924,B,HD0951,1
406,2022,08,14,1929,B,HD0952,1
407,2022,08,14,1934,B,HD0953,1
408,2022,08,14,1939,B,HD0954,1
409,2022,08,14,1944,B,HD0955,1
410,2022,08,14,1949,B,HD0956,1
411,2022,08,14,1954,B,HD0957,1
412,2022,08,14,1959,B,HD0958,1
413,2022,08,14,2004,B,HD0959,1
414,2022,08,14,2009,B,HD0960,1
415,2022,08,14,2014,B,HD0961,1
416,2022,08,14,2019,B,HD0962,1
417,2022,08,14,2024,B,HD0963,1
418,2022,08,14,2029,B,HD0964,1
419,2022,08,14,2034,B,HD0965,1
420,2022,08,14,2039,B,HD0966,1
421,2022,08,14,2044,B,HD0967,1
422,2022,08,14,2049,B,HD0968,1
423,2022,08,14,2054,B,HD0969,1
424,2022,08,14,2059,B,HD0970,1
425,2022,08,14,2104,B,HD0971,1
426,2022,08,14,2109,B,HD0972,1
427,2022,08,14,2114,B,HD0973,1
428,2022,08,14,2119,B,HD0974,1
429,2022,08,14,2124,B,HD0975,1
430,2022,08,14,2129,B,HD0976,1
431,2022,08,14,2134,B,HD0977,1
432,2022,08,14,2139,B,HD0978,1
433,2022,08,14,2144,B,HD0979,1
434,2022,08,14,2149,B,HD0980,1
435,2022,08,14,2154,B,HD0981,1
436,2022,08,14,2159,B,HD0982,1
437,2022,08,14,2204,B,HD0983,1
438,2022,08,14,2209,B,HD0984,1
439,2022,08,14,2214,B,HD0985,1
440,2022,08,14,2219,B,HD0986,1
441,2022,08,14,2224,B,HD0987,1
442,2022,08,14,2229,B,HD0988,1
443,2022,08,14,2234,B,HD0989,1
444,2022,08,14,2239,B,HD0990,1
445,2022,08,14,2244,B,HD0991,1
446,2022,08,14,2249,B,HD0992,1
447,2022,08,14,2254,B,HD0993,1
448,2022,08,14,2259,B,HD0994,1
449,2022,08,14,2304,B,HD0995,1
450,2022,08,14,2309,B,HD0996,1
451,2022,08,14,2314,B,HD0997,1
452,2022,08,14,2319,B,HD0998,1
453,2022,08,14,2324,B,HD0999,1
454,2022,08,14,2329,B,HD1000,1
455,2022,08,14,2334,B,HD1001,1
456,2022,08,14,2339,B,HD1002,1
457,2022,08,14,2344,B,HD1003,1
458,2022,08,14,2349,B,HD1004,1
459,2022,08,14,2354,B,HD1005,1
460,2022,08,14,2359,B,HD1006,1
461,2022,08,15,0004,B,HD1007,1
462,2022,08,15,0009,B,HD1008,1
463,2022,08,15,0014,B,HD1009,1
464,2022,08,15,0019,B,HD1010,1
465,2022,08,15,0024,B,HD1011,1
466,2022,08,15,0029,B,HD1012,1
467,2022,08,15,0034,B,HD1013,1
468,2022,08,15,0039,B,HD1014,1
469,2022,08,15,0044,B,HD1015,1
470,2022,08,15,0049,B,HD1016,1
471,2022,08,15,0054,B,HD1017,1
472,2022,08,15,0059,B,HD1018,1
473,2022,08,15,0104,B,HD1019,1
474,2022,08,15,0109,B,HD1020,1
475,2022,08,15,0114,B,HD1021,1
476,2022,08,15,0119,B,HD1022,1
477,2022,08,15,0124,B,HD1023,1
478,2022,08,15,0129,B,HD1024,1
479,2022,08,15,0134,B,HD1025,1
480,2022,08,15,0139,B,HD1026,1
481,2022,08,15,0144,B,HD1027,1
482,2022,08,15,0149,B,HD1028,1
483,2022,08,15,0154,B,HD1029,1
484,2022,08,15,0159,B,HD1030,1
485,2022,08,15,0204,B,HD1031,1
486,2022,08,15,0209,B,HD1032,1
487,2022,08,15,0214,B,HD1033,1
488,2022,08,15,0219,B,HD1034,1
489,2022,08,15,0224,B,HD1035,1
490,2022,08,15,0229,B,HD1036,1
491,2022,08,15,0234,B,HD1037,1
492,2022,08,15,0239,B,HD1038,1
493,2022,08,15,0244,B,HD1039,1
494,2022,08,15,0249,B,HD1040,1
495,2022,08,15,0254,B,HD1041,1
496,2022,08,15,0259,B,HD1042,1
497,2022,08,15,0304,B,HD1043,1
498,2022,08,15,0309,B,HD1044,1
499,2022,08,15,0314,B,HD1045,1
500,2022,08,15,0319,B,HD1046,1
501,2022,08,15,0324,B,HD1047,1
502,2022,08,15,0329,B,HD1048,1
503,2022,08,15,0334,B,HD1049,1
504,2022,08,15,0339,B,HD1050,1
505,2022,08,15,0344,B,HD1051,1
506,2022,08,15,0349,B,HD1052,1
507,2022,08,15,0354,B,HD1053,1
508,2022,08,15,0359,B,HD1054,1
509,2022,08,15,0404,B,HD1055,1
510,2022,08,15,0409,B,HD1056,1
511,2022,08,15,0414,B,HD1057,1
512,2022,08,15,0419,B,HD1058,1
513,2022,08,15,0424,B,HD1059,1
514,2022,08,15,0429,B,HD1060,1
515,2022,08,15,0434,B,HD1061,1
516,2022,08,15,0439,B,HD1062,1
517,2022,08,15,0444,B,HD1063,1
518,2022,08,15,0449,B,HD1064,1
519,2022,08,15,0454,B,HD1065,1
520,2022,08,15,0459,B,HD1066,1
521,2022,08,15,0504,B,HD1067,1
522,2022,08,15,0509,B,HD1068,1
523,2022,08,15,0514,B,HD1069,1
524,2022,08,15,0519,B,HD1070,1
525,2022,08,15,0524,B,HD1071,1
526,2022,08,15,0529,B,HD1072,1
527,2022,08,15,0534,B,HD1073,1
528,2022,08,15,0539,B,HD1074,1
529,2022,08,15,0544,B,HD1075,1
530,2022,08,15,0549,B,HD1076,1
531,2022,08,15,0554,B,HD1077,1
532,2022,08,15,0559,B,HD1078,1
533,2022,08,15,0604,B,HD1079,1
534,2022,08,15,0609,B,HD1080,1
535,2022,08,15,0614,B,HD1081,1
536,2022,08,15,0619,B,HD1082,1
537,2022,08,15,0624,B,HD1083,1
538,2022,08,15,0629,B,HD1084,1
539,2022,08,15,0634,B,HD1085,1
540,2022,08,15,0639,B,HD1086,1
541,2022,08,15,0644,B,HD1087,1
542,2022,08,15,0649,B,HD1088,1
