index,year,month,day,time,camera,tag,prediction
7586,2023,07,27,2145,B,PICT2407,1
7587,2023,07,27,2150,B,PICT2408,1
7588,2023,07,27,2155,B,PICT2409,1
7589,2023,07,27,2200,B,PICT2410,1
7590,2023,07,27,2205,B,PICT2411,1
7591,2023,07,27,2210,B,PICT2412,1
7592,2023,07,27,2215,B,PICT2413,1
7593,2023,07,27,2220,B,PICT2414,1
7594,2023,07,27,2225,B,PICT2415,1
7595,2023,07,27,2230,B,PICT2416,1
7596,2023,07,27,2235,B,PICT2417,1
7597,2023,07,27,2240,B,PICT2418,1
7598,2023,07,27,2245,B,PICT2419,1
7599,2023,07,27,2250,B,PICT2420,1
7600,2023,07,27,2255,B,PICT2421,1
7601,2023,07,27,2300,B,PICT2422,1
7602,2023,07,27,2305,B,PICT2423,1
7603,2023,07,27,2310,B,PICT2424,1
7604,2023,07,27,2315,B,PICT2425,1
7605,2023,07,27,2320,B,PICT2426,1
7606,2023,07,27,2325,B,PICT2427,1
7607,2023,07,27,2330,B,PICT2428,1
7608,2023,07,27,2335,B,PICT2429,1
7609,2023,07,27,2340,B,PICT2430,1
7610,2023,07,27,2345,B,PICT2431,1
7611,2023,07,27,2350,B,PICT2432,1
7612,2023,07,27,2355,B,PICT2433,1
7613,2023,07,28,0000,B,PICT2434,1
7614,2023,07,28,0005,B,PICT2435,1
7615,2023,07,28,0010,B,PICT2436,1
7616,2023,07,28,0015,B,PICT2437,1
7617,2023,07,28,0020,B,PICT2438,1
7618,2023,07,28,0025,B,PICT2439,1
7619,2023,07,28,0030,B,PICT2440,1
7620,2023,07,28,0035,B,PICT2441,1
7621,2023,07,28,0040,B,PICT2442,1
7622,2023,07,28,0045,B,PICT2443,1
7623,2023,07,28,0050,B,PICT2444,1
7624,2023,07,28,0055,B,PICT2445,1
7625,2023,07,28,0100,B,PICT2446,1
7626,2023,07,28,0105,B,PICT2447,1
7627,2023,07,28,0110,B,PICT2448,1
7628,2023,07,28,0115,B,PICT2449,1
